# PDOK Locatieserver woonplaats centroids (WGS84); CC0, Kadaster
place,municipality,province,lat,lon
Born,Sittard-Geleen,Limburg,51.03878,5.81737
Borne,Borne,Overijssel,52.30104,6.74829
Bornerbroek,Almelo,Overijssel,52.31217,6.65554
Borssele,Borsele,Zeeland,51.41976,3.75119
Bosch en Duin,Zeist,Utrecht,52.12045,5.23695
Boschoord,Westerveld,Drenthe,52.89660,6.22640
Boskoop,Alphen aan den Rijn,Zuid-Holland,52.08144,4.67071
Bosschenhoofd,Halderberge,Noord-Brabant,51.56100,4.54658
Botlek Rotterdam,Rotterdam,Zuid-Holland,51.88272,4.27746
Bourtange,Westerwolde,Groningen,53.00888,7.18533
Boven-Leeuwen,West Maas en Waal,Gelderland,51.87715,5.54931
Bovenkarspel,Stede Broec,Noord-Holland,52.69947,5.24711
Bovensmilde,Midden-Drenthe,Drenthe,52.98352,6.46311
Boxmeer,Land van Cuijk,Noord-Brabant,51.64844,5.93764
Boxtel,Boxtel,Noord-Brabant,51.58395,5.30828
Braamt,Montferland,Gelderland,51.92472,6.26232
Brakel,Zaltbommel,Gelderland,51.81139,5.08596
Brandwijk,Molenlanden,Zuid-Holland,51.88972,4.81220
Brantgum,Noardeast-Fryslân,Fryslân,53.35513,5.93555
Breda,Breda,Noord-Brabant,51.58036,4.75557
Bredevoort,Aalten,Gelderland,51.94382,6.62398
Breedenbroek,Oude IJsselstreek,Gelderland,51.88367,6.45612
Breezand,Hollands Kroon,Noord-Holland,52.89062,4.82040
Breezanddijk,Súdwest-Fryslân,Fryslân,53.01738,5.20462
Breskens,Sluis,Zeeland,51.39263,3.55509
Breukelen,Stichtse Vecht,Utrecht,52.16804,4.99947
Breukeleveen,Wijdemeren,Noord-Holland,52.17717,5.06968
Brielle,Voorne aan Zee,Zuid-Holland,51.90666,4.16679
Briltil,Westerkwartier,Groningen,53.23305,6.39643
Britsum,Leeuwarden,Fryslân,53.25071,5.79794
Britswert,Súdwest-Fryslân,Fryslân,53.11615,5.67619
Broek,De Fryske Marren,Fryslân,52.98561,5.76252
Broek in Waterland,Waterland,Noord-Holland,52.43814,4.99968
Broek op Langedijk,Dijk en Waard,Noord-Holland,52.67805,4.80361
Broekhuizen,Horst aan de Maas,Limburg,51.47892,6.14534
Broekhuizen,Meppel,Drenthe,52.69752,6.26211
Broekhuizenvorst,Horst aan de Maas,Limburg,51.50255,6.15240
Broekland,Raalte,Overijssel,52.36581,6.21841
Broeksterwâld,Dantumadiel,Fryslân,53.27000,5.97926
Bronkhorst,Bronckhorst,Gelderland,52.08311,6.19385
Bronneger,Borger-Odoorn,Drenthe,52.94418,6.81025
Bronnegerveen,Borger-Odoorn,Drenthe,52.95955,6.83812
Brouwershaven,Schouwen-Duiveland,Zeeland,51.74280,3.95542
Bruchem,Zaltbommel,Gelderland,51.78425,5.24038
Brucht,Hardenberg,Overijssel,52.54660,6.61463
Bruchterveld,Hardenberg,Overijssel,52.53637,6.66526
Bruinehaar,Twenterand,Overijssel,52.47082,6.69341
Bruinisse,Schouwen-Duiveland,Zeeland,51.66108,4.11616
Brummen,Brummen,Gelderland,52.10640,6.15951
Brunssum,Brunssum,Limburg,50.94294,5.97800
Bruntinge,Midden-Drenthe,Drenthe,52.81777,6.58548
Buchten,Sittard-Geleen,Limburg,51.04348,5.81286
Budel,Cranendonck,Noord-Brabant,51.27575,5.59515
Budel-Dorplein,Cranendonck,Noord-Brabant,51.23598,5.58957
Budel-Schoot,Cranendonck,Noord-Brabant,51.25130,5.57005
Buggenum,Leudal,Limburg,51.23629,5.98365
Buinen,Borger-Odoorn,Drenthe,52.92279,6.83963
Buinerveen,Borger-Odoorn,Drenthe,52.93463,6.87309
Buitenkaag,Haarlemmermeer,Noord-Holland,52.22362,4.55967
Buitenpost,Achtkarspelen,Fryslân,53.25004,6.15746
Bunde,Meerssen,Limburg,50.90163,5.73543
